gene_symbol, H3k27me3, H3k36me3, expression, MAE(T/F), tissue, organism
slc39a14, 0.133, 0.765, 0.661, 0, ESBruce4, mouse
slc39a14, 0.394, 0.866, 0.847, 0, ES, mouse
slc39a14, 0.796, 0.183, 0.406, 1, G1E_ER, mouse
slc39a14, 0.720, 0.261, 0.349, 1, G1E, mouse
slc39a14, 0.246, 0.665, 0.745, 0, Lymphoblast, mouse
slc39a14, 0.925, 0.448, 0.358, 1, Megakaryocyte, mouse
slc39a14, 0.329, 0.585, 0.617, 0, MEL, mouse
slc39a14, 0.347, 0.917, 0.896, 0, NeuronalProgenitor_(EMTAB1822), mouse
slc39a14, 0.347, 0.917, 0.896, 0, NeuronalProgenitor_(GSE54016), mouse
slc39a14, 0.380, 0.662, 0.610, 0, Neuron, mouse
slc39a14, , , , NA, Lymphoblast_PMC3334567, mouse
slc39a14, , , 0.774, 0, GM12878, human
slc39a14, , , 0.805, 0, K562, human
slc39a14, , , 0.946, 0, H1ESC, human
slc39a14, , , 0.844, 0, HSMM, human
slc39a14, , , 0.822, 0, HUVEC, human
slc39a14, , , 0.841, 0, HMEC, human
slc39a14, , , 0.577, 0, HCC1954, human
slc39a14, , , 0.774, 0, PBMC, human
slc39a14, , , , NA, B_Cell, human
igfbp4, 0.601, 0.607, 0.975, 1, Fibroblast, mouse
igfbp4, 0.855, 0.483, 0.536, 1, Bcellcd43n, mouse
igfbp4, 0.510, 0.611, 0.944, 0, Heart, mouse
igfbp4, 0.196, 0.695, 0.986, 0, Kidney, mouse
igfbp4, 0.140, 0.798, 0.991, 0, Liver, mouse
igfbp4, 0.737, 0.556, 0.625, 1, SmIntestine, mouse
igfbp4, 0.754, 0.545, 0.951, 1, Spleen, mouse
igfbp4, 0.772, 0.427, 0.690, 1, Testis, mouse
igfbp4, 0.885, 0.451, 0.825, 1, Thymus, mouse
igfbp4, 0.670, 0.485, 0.930, 1, C2C12_EqS, mouse
igfbp4, 0.710, 0.598, 0.904, 1, C2C12, mouse
igfbp4, 0.896, 0.341, 0.373, 1, CH12, mouse
igfbp4, 0.435, 0.636, 0.898, 0, E14_WholeBrain, mouse
igfbp4, 0.947, 0.635, 0.860, 1, Erythroblast, mouse
igfbp4, 0.863, 0.351, 0.825, 1, ESBruce4, mouse
igfbp4, 0.941, 0.458, 0.726, 1, ES, mouse
igfbp4, 0.990, 0.399, 0.152, 1, G1E_ER, mouse
igfbp4, 0.982, 0.552, 0.674, 1, G1E, mouse
igfbp4, 0.177, 0.901, 0.992, 0, Lymphoblast, mouse
igfbp4, 0.902, 0.503, 0.934, 1, Megakaryocyte, mouse
igfbp4, 0.373, 0.533, 0.880, 0, MEL, mouse
igfbp4, 0.885, 0.788, 0.954, 0, NeuronalProgenitor_(EMTAB1822), mouse
igfbp4, 0.885, 0.788, 0.954, 0, NeuronalProgenitor_(GSE54016), mouse
igfbp4, 0.778, 0.611, 0.764, 1, Neuron, mouse
igfbp4, , , , NA, Lymphoblast_PMC3334567, mouse
igfbp4, , , 0.608, 1, GM12878, human
igfbp4, , , 0.815, 1, K562, human
igfbp4, , , 0.866, 1, H1ESC, human
igfbp4, , , 0.985, 0, HSMM, human
igfbp4, , , 0.920, 0, HUVEC, human
igfbp4, , , 0.773, 0, HMEC, human
igfbp4, , , 0.449, 0, HCC1954, human
igfbp4, , , 0.608, 1, PBMC, human
igfbp4, , , , NA, B_Cell, human
thra, 0.166, 0.552, 0.758, 0, Fibroblast, mouse
thra, 0.514, 0.487, 0.557, 1, Bcellcd43n, mouse
thra, 0.134, 0.795, 0.820, 0, Heart, mouse
thra, 0.154, 0.441, 0.673, 0, Kidney, mouse
thra, 0.356, 0.487, 0.477, 0, Liver, mouse
thra, 0.346, 0.657, 0.769, 0, SmIntestine, mouse
thra, 0.275, 0.500, 0.584, 0, Spleen, mouse
thra, 0.762, 0.374, 0.521, 1, Testis, mouse
thra, 0.348, 0.577, 0.657, 0, Thymus, mouse
thra, 0.118, 0.602, 0.836, 0, C2C12_EqS, mouse
thra, 0.277, 0.553, 0.745, 0, C2C12, mouse
thra, 0.837, 0.465, 0.513, 1, CH12, mouse
thra, 0.300, 0.680, 0.906, 0, E14_WholeBrain, mouse
thra, 0.210, 0.772, 0.837, 0, Erythroblast, mouse
thra, 0.372, 0.466, 0.590, 0, ESBruce4, mouse
thra, 0.615, 0.558, 0.524, 1, ES, mouse
thra, 0.190, 0.669, 0.741, 0, G1E_ER, mouse
thra, 0.141, 0.736, 0.729, 0, G1E, mouse
thra, 0.286, 0.563, 0.737, 0, Lymphoblast, mouse
thra, 0.357, 0.730, 0.815, 0, Megakaryocyte, mouse
thra, 0.217, 0.904, 0.612, 0, MEL, mouse
thra, 0.558, 0.649, 0.692, 0, NeuronalProgenitor_(EMTAB1822), mouse
thra, 0.558, 0.649, 0.692, 0, NeuronalProgenitor_(GSE54016), mouse
thra, 0.083, 0.814, 0.959, 0, Neuron, mouse
thra, , , , NA, Lymphoblast_PMC3334567, mouse
thra, , , 0.573, 1, GM12878, human
thra, , , 0.774, 1, K562, human
thra, , , 0.587, 1, H1ESC, human
thra, , , 0.771, 0, HSMM, human
thra, , , 0.773, 0, HUVEC, human
thra, , , 0.631, 0, HMEC, human
thra, , , 0.549, 0, HCC1954, human
thra, , , 0.573, 0, PBMC, human
thra, , , , NA, B_Cell, human
crebzf, 0.111, 0.403, 0.897, 0, Fibroblast, mouse
crebzf, 0.452, 0.716, 0.977, 0, Bcellcd43n, mouse
crebzf, 0.465, 0.878, 0.832, 0, Heart, mouse
crebzf, 0.750, 0.711, 0.850, 0, Kidney, mouse
crebzf, 0.331, 0.628, 0.891, 0, Liver, mouse
crebzf, 0.752, 0.622, 0.910, 0, SmIntestine, mouse
crebzf, 0.273, 0.718, 0.910, 0, Spleen, mouse
crebzf, 0.090, 0.606, 0.824, 0, Testis, mouse
crebzf, 0.079, 0.591, 0.950, 0, Thymus, mouse
crebzf, 0.437, 0.986, 0.852, 0, C2C12_EqS, mouse
crebzf, 0.396, 0.938, 0.863, 0, C2C12, mouse
crebzf, 0.510, 0.656, 0.916, 0, CH12, mouse
crebzf, 0.709, 0.610, 0.964, 0, E14_WholeBrain, mouse
crebzf, 0.012, 0.803, 0.940, 0, Erythroblast, mouse
crebzf, 0.411, 0.908, 0.933, 0, ESBruce4, mouse
crebzf, 0.355, 0.899, 0.941, 0, ES, mouse
crebzf, 0.131, 0.728, 0.897, 0, G1E_ER, mouse
crebzf, 0.014, 0.656, 0.945, 0, G1E, mouse
crebzf, 0.496, 0.595, 0.761, 1, Lymphoblast, mouse
crebzf, 0.006, 0.690, 0.922, 0, Megakaryocyte, mouse
crebzf, 0.481, 0.902, 0.965, 0, MEL, mouse
crebzf, 0.158, 0.814, 0.960, 0, NeuronalProgenitor_(EMTAB1822), mouse
crebzf, 0.158, 0.814, 0.960, 0, NeuronalProgenitor_(GSE54016), mouse
crebzf, 0.048, 0.664, 0.954, 0, Neuron, mouse
crebzf, , , , NA, Lymphoblast_PMC3334567, mouse
crebzf, , , 0.882, 0, GM12878, human
crebzf, , , 0.817, 0, K562, human
crebzf, , , 0.856, 0, H1ESC, human
crebzf, , , 0.603, 0, HSMM, human
crebzf, , , 0.827, 0, HUVEC, human
crebzf, , , 0.612, 0, HMEC, human
crebzf, , , 0.754, 0, HCC1954, human
crebzf, , , 0.882, 0, PBMC, human
crebzf, , , , NA, B_Cell, human
iqcb1, 0.193, 0.516, 0.533, 0, Fibroblast, mouse
iqcb1, 0.720, 0.961, 0.666, 0, Bcellcd43n, mouse
iqcb1, 0.479, 0.989, 0.589, 0, Heart, mouse
iqcb1, 0.914, 0.996, 0.458, 0, Kidney, mouse
iqcb1, 0.058, 0.914, 0.538, 0, Liver, mouse
iqcb1, 0.697, 0.779, 0.698, 0, SmIntestine, mouse
iqcb1, 0.842, 0.982, 0.511, 0, Spleen, mouse
iqcb1, 0.889, 0.991, 0.751, 0, Testis, mouse
iqcb1, 0.726, 0.979, 0.586, 0, Thymus, mouse
iqcb1, 0.470, 0.930, 0.464, 0, C2C12_EqS, mouse
iqcb1, 0.306, 0.812, 0.508, 0, C2C12, mouse
iqcb1, 0.066, 0.674, 0.655, 0, CH12, mouse
iqcb1, 0.545, 0.989, 0.663, 0, E14_WholeBrain, mouse
iqcb1, 0.019, 0.673, 0.610, 0, Erythroblast, mouse
iqcb1, 0.658, 0.991, 0.650, 0, ESBruce4, mouse
iqcb1, 0.051, 0.722, 0.591, 0, ES, mouse
iqcb1, 0.040, 0.677, 0.581, 0, G1E_ER, mouse
iqcb1, 0.046, 0.643, 0.536, 0, G1E, mouse
iqcb1, 0.453, 0.849, 0.660, 0, Lymphoblast, mouse
iqcb1, 0.037, 0.596, 0.476, 0, Megakaryocyte, mouse
iqcb1, 0.023, 0.901, 0.593, 0, MEL, mouse
iqcb1, 0.089, 0.816, 0.686, 0, NeuronalProgenitor_(EMTAB1822), mouse
iqcb1, 0.089, 0.816, 0.686, 0, NeuronalProgenitor_(GSE54016), mouse
iqcb1, 0.137, 0.674, 0.674, 0, Neuron, mouse
iqcb1, , , , NA, Lymphoblast_PMC3334567, mouse
iqcb1, , , 0.901, 0, GM12878, human
iqcb1, , , 0.806, 0, K562, human
iqcb1, , , 0.885, 0, H1ESC, human
iqcb1, , , 0.603, 0, HSMM, human
iqcb1, , , 0.734, 0, HUVEC, human
iqcb1, , , 0.688, 0, HMEC, human
iqcb1, , , 0.639, 0, HCC1954, human
iqcb1, , , 0.901, 0, PBMC, human
iqcb1, , , , NA, B_Cell, human
atg14, 0.489, 0.956, 0.516, 0, Fibroblast, mouse
atg14, 0.325, 0.690, 0.601, 0, Bcellcd43n, mouse
atg14, 0.385, 0.759, 0.533, 0, Heart, mouse
atg14, 0.096, 0.830, 0.591, 0, Kidney, mouse
atg14, 0.317, 0.906, 0.740, 0, Liver, mouse
atg14, 0.116, 0.814, 0.587, 0, SmIntestine, mouse
atg14, 0.248, 0.805, 0.540, 0, Spleen, mouse
atg14, 0.205, 0.775, 0.509, 0, Testis, mouse
atg14, 0.305, 0.821, 0.564, 0, Thymus, mouse
atg14, 0.367, 0.780, 0.588, 0, C2C12_EqS, mouse
atg14, 0.343, 0.664, 0.592, 0, C2C12, mouse
atg14, 0.130, 0.747, 0.609, 0, CH12, mouse
atg14, 0.321, 0.851, 0.580, 0, E14_WholeBrain, mouse
atg14, 0.149, 0.828, 0.787, 0, Erythroblast, mouse
atg14, 0.232, 0.903, 0.634, 0, ESBruce4, mouse
atg14, 0.196, 0.839, 0.728, 0, ES, mouse
atg14, 0.138, 0.782, 0.698, 0, G1E_ER, mouse
atg14, 0.285, 0.760, 0.624, 0, G1E, mouse
atg14, 0.083, 0.923, 0.633, 0, Lymphoblast, mouse
atg14, 0.360, 0.646, 0.334, 0, Megakaryocyte, mouse
atg14, 0.249, 0.736, 0.570, 0, MEL, mouse
atg14, 0.231, 0.766, 0.595, 0, NeuronalProgenitor_(EMTAB1822), mouse
atg14, 0.231, 0.766, 0.595, 0, NeuronalProgenitor_(GSE54016), mouse
atg14, 0.227, 0.788, 0.606, 0, Neuron, mouse
atg14, , , , NA, Lymphoblast_PMC3334567, mouse
atg14, , , 0.598, 0, GM12878, human
atg14, , , 0.546, 0, K562, human
atg14, , , 0.705, 0, H1ESC, human
atg14, , , 0.602, 0, HSMM, human
atg14, , , 0.702, 0, HUVEC, human
atg14, , , 0.546, 0, HMEC, human
atg14, , , 0.599, 0, HCC1954, human
atg14, , , 0.598, 0, PBMC, human
atg14, , , , NA, B_Cell, human
ifngr1, 0.212, 0.770, 0.781, 0, Fibroblast, mouse
ifngr1, 0.304, 0.864, 0.858, 0, Bcellcd43n, mouse
ifngr1, 0.325, 0.922, 0.891, 0, Heart, mouse
ifngr1, 0.529, 0.903, 0.768, 0, Kidney, mouse
ifngr1, 0.271, 0.875, 0.690, 0, Liver, mouse
ifngr1, 0.242, 0.955, 0.911, 0, SmIntestine, mouse
ifngr1, 0.338, 0.923, 0.922, 0, Spleen, mouse
ifngr1, 0.331, 0.587, 0.554, 0, Testis, mouse
ifngr1, 0.406, 0.966, 0.969, 0, Thymus, mouse
ifngr1, 0.083, 0.793, 0.720, 0, C2C12_EqS, mouse
ifngr1, 0.452, 0.749, 0.706, 0, C2C12, mouse
ifngr1, 0.041, 0.881, 0.741, 0, CH12, mouse
ifngr1, 0.665, 0.679, 0.472, 0, E14_WholeBrain, mouse
ifngr1, 0.209, 0.708, 0.574, 0, Erythroblast, mouse
ifngr1, 0.696, 0.661, 0.479, 0, ESBruce4, mouse
ifngr1, 0.737, 0.568, 0.550, 1, ES, mouse
ifngr1, 0.089, 0.696, 0.632, 0, G1E_ER, mouse
ifngr1, 0.148, 0.767, 0.646, 0, G1E, mouse
ifngr1, 0.428, 0.877, 0.851, 0, Lymphoblast, mouse
ifngr1, 0.424, 0.806, 0.623, 0, Megakaryocyte, mouse
ifngr1, 0.401, 0.682, 0.662, 0, MEL, mouse
ifngr1, 0.576, 0.730, 0.632, 0, NeuronalProgenitor_(EMTAB1822), mouse
ifngr1, 0.576, 0.730, 0.632, 0, NeuronalProgenitor_(GSE54016), mouse
ifngr1, 0.395, 0.782, 0.587, 0, Neuron, mouse
ifngr1, , , , NA, Lymphoblast_PMC3334567, mouse
ifngr1, , , 0.980, 0, GM12878, human
ifngr1, , , 0.860, 1, K562, human
ifngr1, , , 0.856, 0, H1ESC, human
ifngr1, , , 0.867, 0, HSMM, human
ifngr1, , , 0.893, 0, HUVEC, human
ifngr1, , , 0.843, 0, HMEC, human
ifngr1, , , 0.961, 0, HCC1954, human
ifngr1, , , 0.980, 0, PBMC, human
ifngr1, , , , NA, B_Cell, human
tmed10, 0.176, 0.823, 0.916, 0, Fibroblast, mouse
tmed10, 0.121, 0.612, 0.816, 0, Bcellcd43n, mouse
tmed10, 0.183, 0.883, 0.897, 0, Heart, mouse
tmed10, 0.470, 0.680, 0.880, 0, Kidney, mouse
tmed10, 0.131, 0.725, 0.864, 0, Liver, mouse
tmed10, 0.282, 0.675, 0.877, 0, SmIntestine, mouse
tmed10, 0.169, 0.648, 0.847, 0, Spleen, mouse
tmed10, 0.187, 0.680, 0.801, 0, Testis, mouse
tmed10, 0.467, 0.761, 0.836, 0, Thymus, mouse
tmed10, 0.177, 0.705, 0.861, 0, C2C12_EqS, mouse
tmed10, 0.090, 0.701, 0.848, 0, C2C12, mouse
tmed10, 0.314, 0.745, 0.882, 0, CH12, mouse
tmed10, 0.197, 0.683, 0.858, 0, E14_WholeBrain, mouse
tmed10, 0.131, 0.769, 0.907, 0, Erythroblast, mouse
tmed10, 0.246, 0.770, 0.874, 0, ESBruce4, mouse
tmed10, 0.157, 0.757, 0.819, 0, ES, mouse
tmed10, 0.061, 0.701, 0.798, 0, G1E_ER, mouse
tmed10, 0.090, 0.720, 0.890, 0, G1E, mouse
tmed10, 0.196, 0.670, 0.967, 0, Lymphoblast, mouse
tmed10, 0.158, 0.674, 0.877, 0, Megakaryocyte, mouse
tmed10, 0.256, 0.861, 0.877, 0, MEL, mouse
tmed10, 0.333, 0.737, 0.845, 0, NeuronalProgenitor_(EMTAB1822), mouse
tmed10, 0.333, 0.737, 0.845, 0, NeuronalProgenitor_(GSE54016), mouse
tmed10, 0.180, 0.612, 0.861, 0, Neuron, mouse
tmed10, , , , NA, Lymphoblast_PMC3334567, mouse
tmed10, , , 0.902, 0, GM12878, human
tmed10, , , 0.823, 0, K562, human
tmed10, , , 0.906, 0, H1ESC, human
tmed10, , , 0.967, 0, HSMM, human
tmed10, , , 0.876, 0, HUVEC, human
tmed10, , , 0.950, 0, HMEC, human
tmed10, , , 0.953, 0, HCC1954, human
tmed10, , , 0.902, 0, PBMC, human
tmed10, , , , NA, B_Cell, human
net1, 0.432, 0.701, 0.835, 0, Fibroblast, mouse
net1, 0.464, 0.603, 0.638, 0, Bcellcd43n, mouse
net1, 0.331, 0.617, 0.699, 0, Heart, mouse
net1, 0.471, 0.642, 0.846, 0, Kidney, mouse
net1, 0.545, 0.707, 0.820, 0, Liver, mouse
net1, 0.212, 0.695, 0.944, 0, SmIntestine, mouse
net1, 0.365, 0.640, 0.705, 0, Spleen, mouse
net1, 0.472, 0.767, 0.603, 0, Testis, mouse
net1, 0.263, 0.702, 0.802, 0, Thymus, mouse
net1, 0.232, 0.673, 0.667, 0, C2C12_EqS, mouse
net1, 0.130, 0.757, 0.759, 0, C2C12, mouse
net1, 0.292, 0.751, 0.766, 0, CH12, mouse
net1, 0.696, 0.708, 0.650, 0, E14_WholeBrain, mouse
net1, 0.285, 0.875, 0.873, 0, Erythroblast, mouse
net1, 0.312, 0.790, 0.800, 0, ESBruce4, mouse
net1, 0.352, 0.753, 0.729, 0, ES, mouse
net1, 0.294, 0.795, 0.780, 0, G1E_ER, mouse
net1, 0.238, 0.791, 0.754, 0, G1E, mouse
net1, 0.221, 0.638, 0.831, 0, Lymphoblast, mouse
net1, 0.484, 0.658, 0.757, 0, Megakaryocyte, mouse
net1, 0.073, 0.830, 0.877, 0, MEL, mouse
net1, 0.324, 0.732, 0.838, 0, NeuronalProgenitor_(EMTAB1822), mouse
net1, 0.324, 0.732, 0.838, 0, NeuronalProgenitor_(GSE54016), mouse
net1, 0.599, 0.599, 0.460, 1, Neuron, mouse
net1, , , , NA, Lymphoblast_PMC3334567, mouse
net1, , , 0.666, 0, GM12878, human
net1, , , 0.917, 0, K562, human
net1, , , 0.914, 0, H1ESC, human
net1, , , 0.835, 0, HSMM, human
net1, , , 0.862, 0, HUVEC, human
net1, , , 0.731, 0, HMEC, human
net1, , , 0.881, 0, HCC1954, human
net1, , , 0.666, 0, PBMC, human
net1, , , , NA, B_Cell, human
ankrd55, 0.477, 0.349, 0.203, 1, Fibroblast, mouse
ankrd55, 0.471, 0.378, 0.414, 0, Bcellcd43n, mouse
ankrd55, 0.673, 0.513, 0.459, 1, Heart, mouse
ankrd55, 0.659, 0.336, 0.189, 1, Kidney, mouse
ankrd55, 0.494, 0.409, 0.469, 1, Liver, mouse
ankrd55, 0.763, 0.293, 0.315, 1, SmIntestine, mouse
ankrd55, 0.532, 0.405, 0.493, 1, Spleen, mouse
ankrd55, 0.565, 0.458, 0.513, 1, Testis, mouse
ankrd55, 0.387, 0.545, 0.421, 0, Thymus, mouse
ankrd55, 0.607, 0.382, 0.368, 1, C2C12_EqS, mouse
ankrd55, 0.627, 0.359, 0.330, 1, C2C12, mouse
ankrd55, 0.621, 0.475, 0.455, 1, CH12, mouse
ankrd55, 0.274, 0.419, 0.396, 0, E14_WholeBrain, mouse
ankrd55, 0.619, 0.262, 0.243, 1, Erythroblast, mouse
ankrd55, 0.728, 0.372, 0.308, 1, ESBruce4, mouse
ankrd55, 0.625, 0.368, 0.270, 1, ES, mouse
ankrd55, 0.839, 0.143, 0.348, 1, G1E_ER, mouse
ankrd55, 0.811, 0.185, 0.280, 1, G1E, mouse
ankrd55, 0.873, 0.334, 0.342, 1, Lymphoblast, mouse
ankrd55, 0.730, 0.415, 0.435, 1, Megakaryocyte, mouse
ankrd55, 0.901, 0.472, 0.247, 1, MEL, mouse
ankrd55, 0.614, 0.299, 0.260, 1, NeuronalProgenitor_(EMTAB1822), mouse
ankrd55, 0.614, 0.299, 0.260, 1, NeuronalProgenitor_(GSE54016), mouse
ankrd55, 0.562, 0.301, 0.314, 1, Neuron, mouse
ankrd55, , , , NA, Lymphoblast_PMC3334567, mouse
ankrd55, , , 0.314, 1, GM12878, human
ankrd55, , , 0.681, 1, K562, human
ankrd55, , , 0.134, 0, H1ESC, human
ankrd55, , , 0.275, 1, HSMM, human
ankrd55, , , 0.400, 0, HUVEC, human
ankrd55, , , 0.123, 1, HMEC, human
ankrd55, , , 0.113, 0, HCC1954, human
ankrd55, , , 0.314, 0, PBMC, human
ankrd55, , , , NA, B_Cell, human
rev1, 0.257, 0.873, 0.612, 0, Fibroblast, mouse
rev1, 0.467, 0.818, 0.660, 0, Bcellcd43n, mouse
rev1, 0.213, 0.908, 0.586, 0, Heart, mouse
rev1, 0.553, 0.936, 0.554, 0, Kidney, mouse
rev1, 0.137, 0.923, 0.653, 0, Liver, mouse
rev1, 0.120, 0.821, 0.662, 0, SmIntestine, mouse
rev1, 0.312, 0.896, 0.569, 0, Spleen, mouse
rev1, 0.500, 0.931, 0.673, 0, Testis, mouse
rev1, 0.619, 0.893, 0.596, 0, Thymus, mouse
rev1, 0.305, 0.899, 0.523, 0, C2C12_EqS, mouse
rev1, 0.303, 0.827, 0.577, 0, C2C12, mouse
rev1, 0.147, 0.786, 0.610, 0, CH12, mouse
rev1, 0.269, 0.891, 0.630, 0, E14_WholeBrain, mouse
rev1, 0.050, 0.853, 0.629, 0, Erythroblast, mouse
rev1, 0.242, 0.974, 0.845, 0, ESBruce4, mouse
rev1, 0.087, 0.934, 0.705, 0, ES, mouse
rev1, 0.107, 0.797, 0.693, 0, G1E_ER, mouse
rev1, 0.092, 0.769, 0.712, 0, G1E, mouse
rev1, 0.390, 0.842, 0.687, 0, Lymphoblast, mouse
rev1, 0.074, 0.768, 0.571, 0, Megakaryocyte, mouse
rev1, 0.140, 0.872, 0.711, 0, MEL, mouse
rev1, 0.108, 0.893, 0.658, 0, NeuronalProgenitor_(EMTAB1822), mouse
rev1, 0.108, 0.893, 0.658, 0, NeuronalProgenitor_(GSE54016), mouse
rev1, 0.198, 0.816, 0.606, 0, Neuron, mouse
rev1, , , , NA, Lymphoblast_PMC3334567, mouse
rev1, , , 0.778, 0, GM12878, human
rev1, , , 0.785, 0, K562, human
rev1, , , 0.771, 0, H1ESC, human
rev1, , , 0.618, 0, HSMM, human
rev1, , , 0.808, 0, HUVEC, human
rev1, , , 0.697, 0, HMEC, human
rev1, , , 0.727, 0, HCC1954, human
rev1, , , 0.778, 0, PBMC, human
rev1, , , , NA, B_Cell, human
rai1, 0.123, 0.596, 0.688, 0, Fibroblast, mouse
rai1, 0.303, 0.592, 0.680, 0, Bcellcd43n, mouse
rai1, 0.237, 0.693, 0.693, 0, Heart, mouse
rai1, 0.245, 0.460, 0.606, 0, Kidney, mouse
rai1, 0.498, 0.530, 0.711, 1, Liver, mouse
rai1, 0.333, 0.557, 0.578, 0, SmIntestine, mouse
rai1, 0.397, 0.596, 0.713, 0, Spleen, mouse
rai1, 0.368, 0.534, 0.528, 0, Testis, mouse
rai1, 0.236, 0.668, 0.943, 0, Thymus, mouse
rai1, 0.228, 0.594, 0.716, 0, C2C12_EqS, mouse
rai1, 0.164, 0.672, 0.715, 0, C2C12, mouse
rai1, 0.418, 0.624, 0.628, 0, CH12, mouse
rai1, 0.411, 0.646, 0.744, 0, E14_WholeBrain, mouse
rai1, 0.681, 0.688, 0.757, 0, Erythroblast, mouse
rai1, 0.535, 0.564, 0.699, 1, ESBruce4, mouse
rai1, 0.777, 0.636, 0.624, 1, ES, mouse
rai1, 0.132, 0.805, 0.858, 0, G1E_ER, mouse
rai1, 0.338, 0.808, 0.805, 0, G1E, mouse
rai1, 0.460, 0.653, 0.941, 0, Lymphoblast, mouse
rai1, 0.296, 0.718, 0.844, 0, Megakaryocyte, mouse
rai1, 0.327, 0.698, 0.861, 0, MEL, mouse
rai1, 0.606, 0.718, 0.701, 0, NeuronalProgenitor_(EMTAB1822), mouse
rai1, 0.606, 0.718, 0.701, 0, NeuronalProgenitor_(GSE54016), mouse
rai1, 0.352, 0.680, 0.783, 0, Neuron, mouse
rai1, , , , NA, Lymphoblast_PMC3334567, mouse
rai1, , , 0.692, 0, GM12878, human
rai1, , , 0.612, 0, K562, human
rai1, , , 0.365, 1, H1ESC, human
rai1, , , 0.627, 0, HSMM, human
rai1, , , 0.710, 0, HUVEC, human
rai1, , , 0.737, 0, HMEC, human
rai1, , , 0.727, 0, HCC1954, human
rai1, , , 0.692, 0, PBMC, human
rai1, , , , NA, B_Cell, human
trib2, 0.422, 0.858, 0.806, 0, Fibroblast, mouse
trib2, 0.570, 0.809, 0.823, 0, Bcellcd43n, mouse
trib2, 0.223, 0.945, 0.793, 0, Heart, mouse
trib2, 0.394, 0.863, 0.846, 0, Kidney, mouse
trib2, 0.679, 0.554, 0.195, 1, Liver, mouse
trib2, 0.636, 0.512, 0.373, 1, SmIntestine, mouse
trib2, 0.408, 0.781, 0.833, 0, Spleen, mouse
trib2, 0.839, 0.361, 0.282, 1, Testis, mouse
trib2, 0.368, 0.787, 0.847, 0, Thymus, mouse
trib2, 0.481, 0.655, 0.485, 0, C2C12_EqS, mouse
trib2, 0.441, 0.618, 0.552, 0, C2C12, mouse
trib2, 0.206, 0.669, 0.658, 0, CH12, mouse
trib2, 0.556, 0.788, 0.905, 0, E14_WholeBrain, mouse
trib2, 0.833, 0.515, 0.371, 1, Erythroblast, mouse
trib2, 0.737, 0.594, 0.539, 1, ESBruce4, mouse
trib2, 0.739, 0.474, 0.544, 1, ES, mouse
trib2, 0.520, 0.177, 0.431, 1, G1E_ER, mouse
trib2, 0.532, 0.182, 0.362, 1, G1E, mouse
trib2, 0.707, 0.602, 0.626, 1, Lymphoblast, mouse
trib2, 0.798, 0.570, 0.647, 1, Megakaryocyte, mouse
trib2, 0.265, 0.716, 0.690, 0, MEL, mouse
trib2, 0.719, 0.737, 0.732, 0, NeuronalProgenitor_(EMTAB1822), mouse
trib2, 0.719, 0.737, 0.732, 0, NeuronalProgenitor_(GSE54016), mouse
trib2, 0.289, 0.888, 0.938, 0, Neuron, mouse
trib2, , , , NA, Lymphoblast_PMC3334567, mouse
trib2, , , 0.520, 1, GM12878, human
trib2, , , 0.787, 0, K562, human
trib2, , , 0.887, 0, H1ESC, human
trib2, , , 0.640, 0, HSMM, human
trib2, , , 0.694, 0, HUVEC, human
trib2, , , 0.656, 0, HMEC, human
trib2, , , 0.864, 0, HCC1954, human
trib2, , , 0.520, 0, PBMC, human
trib2, , , , NA, B_Cell, human
sdk1, 0.594, 0.286, 0.491, 1, Fibroblast, mouse
sdk1, 0.609, 0.158, 0.286, 1, Bcellcd43n, mouse
sdk1, 0.715, 0.227, 0.511, 1, Heart, mouse
sdk1, 0.636, 0.308, 0.431, 1, Kidney, mouse
sdk1, 0.679, 0.309, 0.449, 1, Liver, mouse
sdk1, 0.702, 0.234, 0.292, 1, SmIntestine, mouse
sdk1, 0.666, 0.217, 0.522, 1, Spleen, mouse
sdk1, 0.486, 0.380, 0.342, 1, Testis, mouse
sdk1, 0.677, 0.195, 0.312, 1, Thymus, mouse
sdk1, 0.588, 0.342, 0.354, 1, C2C12_EqS, mouse
sdk1, 0.662, 0.212, 0.339, 1, C2C12, mouse
sdk1, 0.842, 0.210, 0.321, 1, CH12, mouse
sdk1, 0.518, 0.374, 0.411, 1, E14_WholeBrain, mouse
sdk1, 0.525, 0.370, 0.404, 1, Erythroblast, mouse
sdk1, 0.660, 0.228, 0.392, 1, ESBruce4, mouse
sdk1, 0.594, 0.200, 0.384, 1, ES, mouse
sdk1, 0.378, 0.324, 0.365, 0, G1E_ER, mouse
sdk1, 0.388, 0.224, 0.385, 0, G1E, mouse
sdk1, 0.734, 0.215, 0.154, 1, Lymphoblast, mouse
sdk1, 0.477, 0.180, 0.392, 1, Megakaryocyte, mouse
sdk1, 0.588, 0.106, 0.502, 1, MEL, mouse
sdk1, 0.652, 0.241, 0.355, 1, NeuronalProgenitor_(EMTAB1822), mouse
sdk1, 0.652, 0.241, 0.355, 1, NeuronalProgenitor_(GSE54016), mouse
sdk1, 0.633, 0.451, 0.402, 1, Neuron, mouse
sdk1, , , , NA, Lymphoblast_PMC3334567, mouse
sdk1, , , 0.288, 1, GM12878, human
sdk1, , , 0.152, 1, K562, human
sdk1, , , 0.516, 0, H1ESC, human
sdk1, , , 0.479, 0, HSMM, human
sdk1, , , 0.486, 0, HUVEC, human
